channel,store_code,ean,day,quantity
Retail,S010,ST0013_L,2026-01-02,46
Retail,S010,ST0002_S,2026-01-02,26
Retail,S010,ST0007_M,2026-01-02,20
Retail,S010,ST0033_M,2026-01-02,34
Retail,S010,ST0012_L,2026-01-02,39
Retail,S001,ST0043_L,2026-01-03,22
Retail,S001,ST0031_XL,2026-01-03,27
Retail,S001,ST0009_M,2026-01-03,44
Retail,S001,ST0036_M,2026-01-03,9
Retail,S001,ST0024_L,2026-01-03,45
Retail,S001,ST0009_S,2026-01-03,29
Retail,S001,ST0006_S,2026-01-03,24
Retail,S001,ST0014_S,2026-01-03,47
Retail,S001,ST0007_S,2026-01-03,9
Retail,S001,ST0034_XL,2026-01-03,10
Retail,S001,ST0036_L,2026-01-03,20
Retail,S001,ST0028_S,2026-01-03,21
Retail,S001,ST0046_XL,2026-01-03,6
Retail,S001,ST0034_L,2026-01-03,1
Retail,S001,ST0043_XL,2026-01-03,11
Retail,S001,ST0032_M,2026-01-03,41
Retail,S001,ST0003_XL,2026-01-03,10
Retail,S001,ST0031_S,2026-01-03,17
Retail,S001,ST0021_L,2026-01-03,25
Retail,S001,ST0043_M,2026-01-03,43
Retail,S002,ST0030_S,2026-01-03,23
Retail,S002,ST0039_S,2026-01-03,9
Retail,S002,ST0021_S,2026-01-03,17
Retail,S002,ST0025_S,2026-01-03,11
Retail,S002,ST0041_M,2026-01-03,44
Retail,S002,ST0047_S,2026-01-03,21
Retail,S002,ST0006_L,2026-01-03,35
Retail,S002,ST0004_L,2026-01-03,31
Retail,S002,ST0026_L,2026-01-03,44
Retail,S002,ST0005_M,2026-01-03,19
Retail,S002,ST0022_M,2026-01-03,37
Retail,S002,ST0002_M,2026-01-03,22
Retail,S002,ST0028_S,2026-01-03,15
Retail,S002,ST0017_L,2026-01-03,4
Retail,S002,ST0050_L,2026-01-03,20
Retail,S002,ST0014_XL,2026-01-03,13
Retail,S002,ST0032_L,2026-01-03,15
Retail,S002,ST0043_L,2026-01-03,44
Retail,S002,ST0026_XL,2026-01-03,6
Retail,S002,ST0025_L,2026-01-03,16
Retail,S003,ST0047_L,2026-01-03,31
Retail,S003,ST0046_S,2026-01-03,17
Retail,S003,ST0050_S,2026-01-03,28
Retail,S003,ST0006_XL,2026-01-03,46
Retail,S003,ST0024_M,2026-01-03,30
Retail,S003,ST0049_M,2026-01-03,36
Retail,S003,ST0029_M,2026-01-03,38
Retail,S003,ST0013_M,2026-01-03,47
Retail,S003,ST0009_M,2026-01-03,3
Retail,S003,ST0038_S,2026-01-03,29
Retail,S003,ST0038_XL,2026-01-03,1
Retail,S003,ST0031_XL,2026-01-03,43
Retail,S003,ST0022_S,2026-01-03,29
Retail,S003,ST0039_L,2026-01-03,17
Retail,S003,ST0023_L,2026-01-03,6
Retail,S003,ST0010_XL,2026-01-03,0
Retail,S003,ST0016_M,2026-01-03,25
Retail,S003,ST0047_XL,2026-01-03,44
Retail,S003,ST0011_S,2026-01-03,7
Retail,S003,ST0031_S,2026-01-03,36
Retail,S004,ST0010_XL,2026-01-03,20
Retail,S004,ST0045_S,2026-01-03,39
Retail,S004,ST0034_XL,2026-01-03,24
Retail,S004,ST0049_M,2026-01-03,0
Retail,S004,ST0049_XL,2026-01-03,5
Retail,S004,ST0048_S,2026-01-03,22
Retail,S004,ST0022_XL,2026-01-03,42
Retail,S004,ST0041_M,2026-01-03,42
Retail,S004,ST0014_M,2026-01-03,22
Retail,S004,ST0026_L,2026-01-03,20
Retail,S004,ST0008_L,2026-01-03,38
Retail,S004,ST0042_XL,2026-01-03,44
Retail,S004,ST0002_L,2026-01-03,17
Retail,S004,ST0049_S,2026-01-03,46
Retail,S004,ST0028_M,2026-01-03,41
Retail,S004,ST0019_S,2026-01-03,47
Retail,S004,ST0025_XL,2026-01-03,26
Retail,S004,ST0016_XL,2026-01-03,8
Retail,S004,ST0006_S,2026-01-03,44
Retail,S004,ST0013_S,2026-01-03,30
Retail,S005,ST0049_XL,2026-01-03,6
Retail,S005,ST0041_XL,2026-01-03,44
Retail,S005,ST0049_L,2026-01-03,28
Retail,S005,ST0012_M,2026-01-03,34
Retail,S005,ST0045_L,2026-01-03,2
Retail,S005,ST0036_L,2026-01-03,44
Retail,S005,ST0048_M,2026-01-03,0
Retail,S005,ST0049_S,2026-01-03,26
Retail,S005,ST0017_XL,2026-01-03,22
Retail,S005,ST0022_S,2026-01-03,10
Retail,S005,ST0029_M,2026-01-03,32
Retail,S005,ST0008_XL,2026-01-03,35
Retail,S005,ST0006_M,2026-01-03,40
Retail,S005,ST0014_S,2026-01-03,16
Retail,S005,ST0009_S,2026-01-03,47
Retail,S005,ST0043_L,2026-01-03,47
Retail,S005,ST0044_M,2026-01-03,46
Retail,S005,ST0045_M,2026-01-03,13
Retail,S005,ST0023_L,2026-01-03,30
Retail,S005,ST0025_S,2026-01-03,23
Retail,S006,ST0032_S,2026-01-03,6
Retail,S006,ST0003_M,2026-01-03,6
Retail,S006,ST0041_XL,2026-01-03,14
Retail,S006,ST0010_S,2026-01-03,45
Retail,S006,ST0018_XL,2026-01-03,3
Retail,S006,ST0029_M,2026-01-03,13
Retail,S006,ST0007_M,2026-01-03,1
Retail,S006,ST0044_XL,2026-01-03,9
Retail,S006,ST0024_L,2026-01-03,16
Retail,S006,ST0016_L,2026-01-03,11
Retail,S006,ST0029_L,2026-01-03,19
Retail,S006,ST0035_XL,2026-01-03,46
Retail,S006,ST0045_S,2026-01-03,5
Retail,S006,ST0011_XL,2026-01-03,17
Retail,S006,ST0015_S,2026-01-03,32
Retail,S006,ST0030_S,2026-01-03,12
Retail,S006,ST0012_S,2026-01-03,26
Retail,S006,ST0012_M,2026-01-03,32
Retail,S006,ST0002_S,2026-01-03,44
Retail,S006,ST0002_M,2026-01-03,4
Retail,S007,ST0037_S,2026-01-03,22
Retail,S007,ST0015_XL,2026-01-03,47
Retail,S007,ST0041_L,2026-01-03,1
Retail,S007,ST0047_M,2026-01-03,19
Retail,S007,ST0044_L,2026-01-03,45
Retail,S007,ST0018_XL,2026-01-03,11
Retail,S007,ST0011_XL,2026-01-03,35
Retail,S007,ST0022_M,2026-01-03,33
Retail,S007,ST0008_M,2026-01-03,45
Retail,S007,ST0002_S,2026-01-03,35
Retail,S007,ST0039_XL,2026-01-03,11
Retail,S007,ST0043_L,2026-01-03,29
Retail,S007,ST0006_L,2026-01-03,39
Retail,S007,ST0018_M,2026-01-03,5
Retail,S007,ST0036_S,2026-01-03,26
Retail,S007,ST0026_M,2026-01-03,42
Retail,S007,ST0039_S,2026-01-03,47
Retail,S007,ST0027_L,2026-01-03,4
Retail,S007,ST0030_M,2026-01-03,14
Retail,S007,ST0025_M,2026-01-03,4
Retail,S008,ST0048_M,2026-01-03,9
Retail,S008,ST0026_S,2026-01-03,12
Retail,S008,ST0027_S,2026-01-03,45
Retail,S008,ST0037_XL,2026-01-03,14
Retail,S008,ST0011_L,2026-01-03,6
Retail,S008,ST0039_L,2026-01-03,31
Retail,S008,ST0026_XL,2026-01-03,14
Retail,S008,ST0029_S,2026-01-03,20
Retail,S008,ST0017_L,2026-01-03,3
Retail,S008,ST0040_M,2026-01-03,43
Retail,S008,ST0007_XL,2026-01-03,36
Retail,S008,ST0033_S,2026-01-03,20
Retail,S008,ST0017_S,2026-01-03,44
Retail,S008,ST0032_M,2026-01-03,26
Retail,S008,ST0030_S,2026-01-03,22
Retail,S008,ST0050_S,2026-01-03,15
Retail,S008,ST0017_M,2026-01-03,3
Retail,S008,ST0006_M,2026-01-03,41
Retail,S008,ST0039_S,2026-01-03,43
Retail,S008,ST0024_XL,2026-01-03,25
Retail,S009,ST0012_L,2026-01-03,28
Retail,S009,ST0045_L,2026-01-03,32
Retail,S009,ST0036_M,2026-01-03,44
Retail,S009,ST0001_L,2026-01-03,41
Retail,S009,ST0015_XL,2026-01-03,34
Retail,S009,ST0037_XL,2026-01-03,39
Retail,S009,ST0009_L,2026-01-03,24
Retail,S009,ST0006_M,2026-01-03,37
Retail,S009,ST0038_L,2026-01-03,19
Retail,S009,ST0040_S,2026-01-03,43
Retail,S009,ST0005_XL,2026-01-03,33
Retail,S009,ST0008_S,2026-01-03,47
Retail,S009,ST0021_M,2026-01-03,12
Retail,S009,ST0039_S,2026-01-03,22
Retail,S009,ST0029_M,2026-01-03,16
Retail,S009,ST0019_S,2026-01-03,1
Retail,S009,ST0026_M,2026-01-03,18
Retail,S009,ST0017_M,2026-01-03,6
Retail,S009,ST0007_M,2026-01-03,41
Retail,S009,ST0002_M,2026-01-03,19
Retail,S010,ST0004_XL,2026-01-03,33
Retail,S010,ST0046_M,2026-01-03,7
Retail,S010,ST0029_L,2026-01-03,44
Retail,S010,ST0023_M,2026-01-03,1
Retail,S010,ST0024_S,2026-01-03,5
Retail,S010,ST0028_L,2026-01-03,31
Retail,S010,ST0003_L,2026-01-03,33
Retail,S010,ST0015_XL,2026-01-03,15
Retail,S010,ST0013_S,2026-01-03,11
Retail,S010,ST0025_S,2026-01-03,44
Retail,S010,ST0049_S,2026-01-03,5
Retail,S010,ST0033_M,2026-01-03,22
Retail,S010,ST0025_M,2026-01-03,45
Retail,S010,ST0002_XL,2026-01-03,21
Retail,S010,ST0026_S,2026-01-03,24
Retail,S010,ST0050_M,2026-01-03,48
Retail,S010,ST0019_L,2026-01-03,7
Retail,S010,ST0044_M,2026-01-03,48
Retail,S010,ST0045_XL,2026-01-03,32
Retail,S010,ST0046_L,2026-01-03,46
Retail,S001,ST0040_M,2026-01-04,2
