ean,style,size,mrp
ST0019_S,ST0019,S,1315
ST0019_M,ST0019,M,3620
ST0019_L,ST0019,L,516
ST0019_XL,ST0019,XL,1743
ST0020_S,ST0020,S,2705
ST0020_M,ST0020,M,3024
ST0020_L,ST0020,L,1569
ST0020_XL,ST0020,XL,3944
ST0021_S,ST0021,S,3065
ST0021_M,ST0021,M,1560
ST0021_L,ST0021,L,2827
ST0021_XL,ST0021,XL,3920
ST0022_S,ST0022,S,801
ST0022_M,ST0022,M,4776
ST0022_L,ST0022,L,1106
ST0022_XL,ST0022,XL,3670
ST0023_S,ST0023,S,1199
ST0023_M,ST0023,M,1639
ST0023_L,ST0023,L,690
ST0023_XL,ST0023,XL,2800
ST0024_S,ST0024,S,1480
ST0024_M,ST0024,M,3475
ST0024_L,ST0024,L,1684
ST0024_XL,ST0024,XL,3827
ST0025_S,ST0025,S,3894
ST0025_M,ST0025,M,627
ST0025_L,ST0025,L,2565
ST0025_XL,ST0025,XL,2316
ST0026_S,ST0026,S,1069
ST0026_M,ST0026,M,2395
ST0026_L,ST0026,L,3233
ST0026_XL,ST0026,XL,4363
ST0027_S,ST0027,S,4514
ST0027_M,ST0027,M,3401
ST0027_L,ST0027,L,2186
ST0027_XL,ST0027,XL,3509
ST0028_S,ST0028,S,654
ST0028_M,ST0028,M,3037
ST0028_L,ST0028,L,1909
ST0028_XL,ST0028,XL,4557
ST0029_S,ST0029,S,1284
ST0029_M,ST0029,M,3675
ST0029_L,ST0029,L,4841
ST0029_XL,ST0029,XL,3306
ST0030_S,ST0030,S,1037
ST0030_M,ST0030,M,2341
ST0030_L,ST0030,L,2955
ST0030_XL,ST0030,XL,1024
ST0031_S,ST0031,S,3450
ST0031_M,ST0031,M,4631
ST0031_L,ST0031,L,4615
ST0031_XL,ST0031,XL,2868
ST0032_S,ST0032,S,4347
ST0032_M,ST0032,M,4995
ST0032_L,ST0032,L,3201
ST0032_XL,ST0032,XL,1471
ST0033_S,ST0033,S,1666
ST0033_M,ST0033,M,3274
ST0033_L,ST0033,L,2482
ST0033_XL,ST0033,XL,1353
ST0034_S,ST0034,S,4646
ST0034_M,ST0034,M,4236
ST0034_L,ST0034,L,4269
ST0034_XL,ST0034,XL,1074
ST0035_S,ST0035,S,3761
ST0035_M,ST0035,M,1648
ST0035_L,ST0035,L,2215
ST0035_XL,ST0035,XL,4354
ST0036_S,ST0036,S,2991
ST0036_M,ST0036,M,3160
ST0036_L,ST0036,L,3624
ST0036_XL,ST0036,XL,3551
ST0037_S,ST0037,S,504
ST0037_M,ST0037,M,1376
ST0037_L,ST0037,L,1491
ST0037_XL,ST0037,XL,4642
ST0038_S,ST0038,S,4864
ST0038_M,ST0038,M,4965
ST0038_L,ST0038,L,1135
ST0038_XL,ST0038,XL,2193
ST0039_S,ST0039,S,2182
ST0039_M,ST0039,M,619
ST0039_L,ST0039,L,1330
ST0039_XL,ST0039,XL,4175
ST0040_S,ST0040,S,1869
ST0040_M,ST0040,M,1240
ST0040_L,ST0040,L,616
ST0040_XL,ST0040,XL,3338
ST0041_S,ST0041,S,1650
ST0041_M,ST0041,M,2431
ST0041_L,ST0041,L,1512
ST0041_XL,ST0041,XL,2164
ST0042_S,ST0042,S,1581
ST0042_M,ST0042,M,1012
ST0042_L,ST0042,L,3349
ST0042_XL,ST0042,XL,1059
ST0043_S,ST0043,S,4172
ST0043_M,ST0043,M,3843
ST0043_L,ST0043,L,4570
ST0043_XL,ST0043,XL,1970
ST0044_S,ST0044,S,1080
ST0044_M,ST0044,M,2794
ST0044_L,ST0044,L,3647
ST0044_XL,ST0044,XL,4749
ST0045_S,ST0045,S,2179
ST0045_M,ST0045,M,4006
ST0045_L,ST0045,L,3244
ST0045_XL,ST0045,XL,3856
ST0046_S,ST0046,S,4545
ST0046_M,ST0046,M,1743
ST0046_L,ST0046,L,3618
ST0046_XL,ST0046,XL,2641
ST0047_S,ST0047,S,3559
ST0047_M,ST0047,M,3459
ST0047_L,ST0047,L,2765
ST0047_XL,ST0047,XL,2979
ST0048_S,ST0048,S,2135
ST0048_M,ST0048,M,2257
ST0048_L,ST0048,L,4952
ST0048_XL,ST0048,XL,2570
ST0049_S,ST0049,S,3349
ST0049_M,ST0049,M,3751
ST0049_L,ST0049,L,4230
ST0049_XL,ST0049,XL,2989
ST0050_S,ST0050,S,2131
ST0050_M,ST0050,M,3316
ST0050_L,ST0050,L,1515
ST0050_XL,ST0050,XL,1848
