channel,store_code,sku,day,online,quantity,discount_value,revenue
Retail,S006,ST0013_XL,2026-01-01,No,4,0,18268
Retail,S006,ST0037_M,2026-01-01,No,2,0,2752
Retail,S006,ST0002_S,2026-01-01,No,3,0,7458
Retail,S007,ST0044_S,2026-01-01,No,2,0,2160
Retail,S007,ST0011_M,2026-01-01,No,3,0,9171
Retail,S007,ST0027_M,2026-01-01,No,1,0,3401
Retail,S007,ST0002_L,2026-01-01,No,1,0,3719
Retail,S007,ST0009_XL,2026-01-01,No,4,0,8592
Retail,S007,ST0050_S,2026-01-01,No,1,0,2131
Retail,S007,ST0033_XL,2026-01-01,No,2,0,2706
Retail,S007,ST0045_M,2026-01-01,No,3,0,12018
Retail,S007,ST0040_M,2026-01-01,No,4,0,4960
Retail,S007,ST0029_S,2026-01-01,No,4,0,5136
Retail,S007,ST0035_M,2026-01-01,No,3,0,4944
Retail,S007,ST0041_M,2026-01-01,No,3,0,7293
Retail,S007,ST0028_M,2026-01-01,No,4,0,12148
Retail,S007,ST0006_XL,2026-01-01,No,2,0,8446
Retail,S007,ST0029_XL,2026-01-01,No,4,0,13224
Retail,S007,ST0036_L,2026-01-01,No,3,0,10872
Retail,S007,ST0006_M,2026-01-01,No,1,0,4143
Retail,S008,ST0045_M,2026-01-01,No,4,0,16024
Retail,S008,ST0007_XL,2026-01-01,No,4,0,14680
Retail,S008,ST0029_L,2026-01-01,No,3,0,14523
Retail,S008,ST0041_M,2026-01-01,No,3,0,7293
Retail,S008,ST0008_S,2026-01-01,No,3,0,6546
Retail,S008,ST0021_L,2026-01-01,No,3,0,8481
Retail,S008,ST0010_XL,2026-01-01,No,3,0,2259
Retail,S008,ST0014_M,2026-01-01,No,4,0,19972
Retail,S008,ST0033_XL,2026-01-01,No,4,0,5412
Retail,S008,ST0045_XL,2026-01-01,No,1,0,3856
Retail,S008,ST0018_L,2026-01-01,No,2,0,2918
Retail,S008,ST0034_S,2026-01-01,No,2,0,9292
Retail,S008,ST0009_M,2026-01-01,No,2,0,4392
Retail,S008,ST0016_S,2026-01-01,No,1,0,3235
Retail,S008,ST0040_M,2026-01-01,No,1,0,1240
Retail,S008,ST0050_M,2026-01-01,No,1,0,3316
Retail,S008,ST0010_L,2026-01-01,No,2,0,8846
Retail,S008,ST0013_L,2026-01-01,No,2,0,2912
Retail,S009,ST0005_L,2026-01-01,No,3,0,2286
Retail,S009,ST0001_L,2026-01-01,No,1,0,3311
Retail,S009,ST0026_M,2026-01-01,No,2,0,4790
Retail,S009,ST0018_L,2026-01-01,No,3,0,4377
Retail,S009,ST0030_M,2026-01-01,No,2,0,4682
Retail,S009,ST0045_XL,2026-01-01,No,4,0,15424
Retail,S009,ST0037_XL,2026-01-01,No,2,0,9284
Retail,S009,ST0050_S,2026-01-01,No,4,0,8524
Retail,S009,ST0038_XL,2026-01-01,No,3,0,6579
Retail,S009,ST0037_S,2026-01-01,No,1,0,504
Retail,S009,ST0002_M,2026-01-01,No,4,0,2584
Retail,S009,ST0031_L,2026-01-01,No,2,0,9230
Retail,S009,ST0034_M,2026-01-01,No,1,0,4236
Retail,S009,ST0009_S,2026-01-01,No,2,0,7382
Retail,S009,ST0010_S,2026-01-01,No,1,0,1945
Retail,S009,ST0010_L,2026-01-01,No,2,0,8846
Retail,S009,ST0036_L,2026-01-01,No,1,0,3624
Retail,S010,ST0014_S,2026-01-01,No,1,0,660
Retail,S010,ST0022_L,2026-01-01,No,1,0,1106
Retail,S010,ST0002_XL,2026-01-01,No,4,0,13644
Retail,S010,ST0034_XL,2026-01-01,No,1,0,1074
Retail,S010,ST0017_XL,2026-01-01,No,1,0,2985
Retail,S010,ST0016_M,2026-01-01,No,2,0,2908
Retail,S010,ST0017_S,2026-01-01,No,3,0,6579
Retail,S010,ST0031_M,2026-01-01,No,3,0,13893
Retail,S010,ST0006_M,2026-01-01,No,2,0,8286
Retail,S010,ST0001_M,2026-01-01,No,4,0,4636
Retail,S010,ST0022_S,2026-01-01,No,1,0,801
Retail,S010,ST0017_L,2026-01-01,No,1,0,1062
Retail,S010,ST0010_XL,2026-01-01,No,4,0,3012
Retail,S010,ST0042_L,2026-01-01,No,3,0,10047
Retail,S010,ST0026_XL,2026-01-01,No,2,0,8726
Retail,S001,ST0012_S,2026-01-02,No,3,0,10383
Retail,S001,ST0028_XL,2026-01-02,No,3,0,13671
Retail,S001,ST0049_L,2026-01-02,No,4,0,16920
Retail,S001,ST0041_L,2026-01-02,No,3,0,4536
Retail,S001,ST0036_M,2026-01-02,No,2,0,6320
Retail,S001,ST0040_L,2026-01-02,No,2,0,1232
Retail,S001,ST0008_S,2026-01-02,No,1,0,2182
Retail,S001,ST0003_M,2026-01-02,No,4,0,9372
Retail,S001,ST0050_L,2026-01-02,No,4,0,6060
Retail,S001,ST0044_L,2026-01-02,No,3,0,10941
Retail,S001,ST0022_L,2026-01-02,No,2,0,2212
Retail,S001,ST0030_M,2026-01-02,No,1,0,2341
Retail,S001,ST0040_M,2026-01-02,No,4,0,4960
Retail,S001,ST0014_S,2026-01-02,No,3,0,1980
Retail,S002,ST0002_S,2026-01-02,No,4,0,9944
Retail,S002,ST0034_L,2026-01-02,No,3,0,12807
Retail,S002,ST0039_L,2026-01-02,No,3,0,3990
Retail,S002,ST0036_L,2026-01-02,No,4,0,14496
Retail,S002,ST0008_XL,2026-01-02,No,3,0,14997
Retail,S002,ST0045_M,2026-01-02,No,3,0,12018
Retail,S002,ST0014_S,2026-01-02,No,2,0,1320
Retail,S002,ST0048_L,2026-01-02,No,2,0,9904
Retail,S002,ST0002_L,2026-01-02,No,4,0,14876
Retail,S002,ST0033_S,2026-01-02,No,1,0,1666
Retail,S002,ST0015_M,2026-01-02,No,3,0,5154
Retail,S002,ST0011_XL,2026-01-02,No,3,0,8100
Retail,S002,ST0020_M,2026-01-02,No,4,0,12096
Retail,S002,ST0042_M,2026-01-02,No,4,0,4048
Retail,S002,ST0011_M,2026-01-02,No,2,0,6114
Retail,S003,ST0044_XL,2026-01-02,No,2,0,9498
Retail,S003,ST0044_L,2026-01-02,No,1,0,3647
Retail,S003,ST0032_XL,2026-01-02,No,1,0,1471
Retail,S003,ST0034_S,2026-01-02,No,3,0,13938
Retail,S003,ST0039_XL,2026-01-02,No,4,0,16700
Retail,S003,ST0041_XL,2026-01-02,No,3,0,6492
Retail,S003,ST0017_M,2026-01-02,No,2,0,7872
Retail,S003,ST0021_L,2026-01-02,No,2,0,5654
Retail,S003,ST0029_L,2026-01-02,No,4,0,19364
Retail,S003,ST0017_S,2026-01-02,No,4,0,8772
Retail,S003,ST0004_M,2026-01-02,No,4,0,11540
Retail,S003,ST0039_S,2026-01-02,No,4,0,8728
Retail,S003,ST0044_S,2026-01-02,No,1,0,1080
Retail,S004,ST0033_S,2026-01-02,No,2,0,3332
Retail,S004,ST0021_S,2026-01-02,No,1,0,3065
Retail,S004,ST0008_XL,2026-01-02,No,3,0,14997
Retail,S004,ST0017_L,2026-01-02,No,3,0,3186
Retail,S004,ST0016_S,2026-01-02,No,3,0,9705
Retail,S004,ST0047_M,2026-01-02,No,3,0,10377
Retail,S004,ST0031_XL,2026-01-02,No,3,0,8604
Retail,S004,ST0041_XL,2026-01-02,No,3,0,6492
Retail,S004,ST0016_M,2026-01-02,No,2,0,2908
Retail,S004,ST0005_L,2026-01-02,No,3,0,2286
Retail,S004,ST0040_M,2026-01-02,No,2,0,2480
Retail,S004,ST0041_M,2026-01-02,No,3,0,7293
Retail,S004,ST0023_S,2026-01-02,No,1,0,1199
Retail,S004,ST0026_XL,2026-01-02,No,2,0,8726
Retail,S004,ST0009_S,2026-01-02,No,2,0,7382
Retail,S004,ST0010_L,2026-01-02,No,4,0,17692
Retail,S005,ST0001_M,2026-01-02,No,1,0,1159
Retail,S005,ST0037_L,2026-01-02,No,1,0,1491
Retail,S005,ST0049_M,2026-01-02,No,2,0,7502
Retail,S005,ST0045_S,2026-01-02,No,4,0,8716
Retail,S005,ST0047_L,2026-01-02,No,4,0,11060
Retail,S005,ST0013_L,2026-01-02,No,2,0,2912
Retail,S005,ST0041_M,2026-01-02,No,4,0,9724
Retail,S005,ST0039_S,2026-01-02,No,4,0,8728
Retail,S005,ST0008_M,2026-01-02,No,2,0,5510
Retail,S005,ST0037_M,2026-01-02,No,3,0,4128
Retail,S005,ST0033_S,2026-01-02,No,3,0,4998
Retail,S005,ST0007_S,2026-01-02,No,2,0,7216
Retail,S005,ST0010_XL,2026-01-02,No,1,0,753
Retail,S005,ST0006_XL,2026-01-02,No,4,0,16892
Retail,S005,ST0038_S,2026-01-02,No,2,0,9728
Retail,S006,ST0041_L,2026-01-02,No,2,0,3024
Retail,S006,ST0045_M,2026-01-02,No,2,0,8012
Retail,S006,ST0027_S,2026-01-02,No,2,0,9028
Retail,S006,ST0018_L,2026-01-02,No,3,0,4377
Retail,S006,ST0029_M,2026-01-02,No,1,0,3675
Retail,S006,ST0014_L,2026-01-02,No,1,0,1800
Retail,S006,ST0035_XL,2026-01-02,No,2,0,8708
Retail,S006,ST0046_XL,2026-01-02,No,2,0,5282
Retail,S006,ST0044_XL,2026-01-02,No,4,0,18996
Retail,S006,ST0022_M,2026-01-02,No,3,0,14328
Retail,S006,ST0009_L,2026-01-02,No,3,0,13473
Retail,S006,ST0003_L,2026-01-02,No,4,0,3952
Retail,S006,ST0045_L,2026-01-02,No,2,0,6488
Retail,S007,ST0046_M,2026-01-02,No,2,0,3486
Retail,S007,ST0024_L,2026-01-02,No,1,0,1684
Retail,S007,ST0008_L,2026-01-02,No,3,0,4962
Retail,S007,ST0003_M,2026-01-02,No,1,0,2343
Retail,S007,ST0035_L,2026-01-02,No,1,0,2215
Retail,S007,ST0043_S,2026-01-02,No,2,0,8344
Retail,S007,ST0018_M,2026-01-02,No,2,0,1450
Retail,S007,ST0017_M,2026-01-02,No,3,0,11808
Retail,S007,ST0025_L,2026-01-02,No,2,0,5130
Retail,S007,ST0046_S,2026-01-02,No,2,0,9090
Retail,S007,ST0031_XL,2026-01-02,No,1,0,2868
Retail,S007,ST0029_L,2026-01-02,No,1,0,4841
Retail,S007,ST0034_XL,2026-01-02,No,1,0,1074
Retail,S007,ST0044_S,2026-01-02,No,2,0,2160
Retail,S007,ST0037_XL,2026-01-02,No,4,0,18568
Retail,S007,ST0030_S,2026-01-02,No,4,0,4148
Retail,S008,ST0021_XL,2026-01-02,No,4,0,15680
Retail,S008,ST0044_XL,2026-01-02,No,4,0,18996
Retail,S008,ST0041_S,2026-01-02,No,1,0,1650
Retail,S008,ST0032_M,2026-01-02,No,2,0,9990
Retail,S008,ST0022_L,2026-01-02,No,4,0,4424
Retail,S008,ST0046_L,2026-01-02,No,2,0,7236
Retail,S008,ST0020_M,2026-01-02,No,3,0,9072
Retail,S008,ST0037_S,2026-01-02,No,4,0,2016
Retail,S008,ST0035_M,2026-01-02,No,2,0,3296
Retail,S008,ST0011_L,2026-01-02,No,4,0,2392
Retail,S008,ST0042_M,2026-01-02,No,2,0,2024
Retail,S008,ST0004_M,2026-01-02,No,2,0,5770
Retail,S008,ST0006_XL,2026-01-02,No,4,0,16892
Retail,S008,ST0009_S,2026-01-02,No,3,0,11073
Retail,S008,ST0005_L,2026-01-02,No,2,0,1524
Retail,S008,ST0048_M,2026-01-02,No,2,0,4514
Retail,S008,ST0011_S,2026-01-02,No,3,0,11049
Retail,S008,ST0013_L,2026-01-02,No,4,0,5824
Retail,S009,ST0019_XL,2026-01-02,No,1,0,1743
Retail,S009,ST0041_M,2026-01-02,No,1,0,2431
Retail,S009,ST0012_L,2026-01-02,No,4,0,17108
Retail,S009,ST0047_S,2026-01-02,No,3,0,10677
Retail,S009,ST0010_M,2026-01-02,No,2,0,9398
Retail,S009,ST0015_XL,2026-01-02,No,1,0,3604
Retail,S009,ST0011_S,2026-01-02,No,3,0,11049
Retail,S009,ST0049_S,2026-01-02,No,2,0,6698
Retail,S009,ST0048_S,2026-01-02,No,1,0,2135
Retail,S009,ST0009_S,2026-01-02,No,3,0,11073
Retail,S009,ST0031_M,2026-01-02,No,4,0,18524
Retail,S009,ST0024_XL,2026-01-02,No,4,0,15308
Retail,S009,ST0048_L,2026-01-02,No,2,0,9904
Retail,S009,ST0025_S,2026-01-02,No,3,0,11682
Retail,S010,ST0045_L,2026-01-02,No,1,0,3244
Retail,S010,ST0009_M,2026-01-02,No,2,0,4392
Retail,S010,ST0031_XL,2026-01-02,No,4,0,11472
Retail,S010,ST0050_S,2026-01-02,No,3,0,6393
Retail,S010,ST0002_L,2026-01-02,No,4,0,14876
Retail,S010,ST0017_XL,2026-01-02,No,1,0,2985
Retail,S010,ST0027_S,2026-01-02,No,3,0,13542
Retail,S010,ST0012_XL,2026-01-02,No,1,0,3369
Retail,S010,ST0020_L,2026-01-02,No,2,0,3138
Retail,S010,ST0041_S,2026-01-02,No,3,0,4950
Retail,S010,ST0013_L,2026-01-02,No,3,0,4368
Retail,S010,ST0002_S,2026-01-02,No,1,0,2486
Retail,S010,ST0007_M,2026-01-02,No,3,0,13770
Retail,S010,ST0033_M,2026-01-02,No,2,0,6548
Retail,S010,ST0012_L,2026-01-02,No,1,0,4277
Retail,S001,ST0031_XL,2026-01-03,No,1,0,2868
Retail,S001,ST0036_M,2026-01-03,No,1,0,3160
Retail,S001,ST0024_L,2026-01-03,No,1,0,1684
Retail,S001,ST0006_S,2026-01-03,No,2,0,3032
Retail,S001,ST0014_S,2026-01-03,No,1,0,660
Retail,S001,ST0007_S,2026-01-03,No,2,0,7216
Retail,S001,ST0034_XL,2026-01-03,No,2,0,2148
Retail,S001,ST0036_L,2026-01-03,No,4,0,14496
Retail,S001,ST0028_S,2026-01-03,No,4,0,2616
Retail,S001,ST0032_M,2026-01-03,No,1,0,4995
Retail,S001,ST0031_S,2026-01-03,No,2,0,6900
Retail,S001,ST0043_M,2026-01-03,No,2,0,7686
Retail,S002,ST0030_S,2026-01-03,No,4,0,4148
Retail,S002,ST0039_S,2026-01-03,No,4,0,8728
Retail,S002,ST0021_S,2026-01-03,No,1,0,3065
Retail,S002,ST0025_S,2026-01-03,No,3,0,11682
Retail,S002,ST0041_M,2026-01-03,No,3,0,7293
Retail,S002,ST0047_S,2026-01-03,No,4,0,14236
Retail,S002,ST0026_L,2026-01-03,No,3,0,9699
Retail,S002,ST0005_M,2026-01-03,No,1,0,3869
Retail,S002,ST0022_M,2026-01-03,No,2,0,9552
Retail,S002,ST0002_M,2026-01-03,No,4,0,2584
Retail,S002,ST0028_S,2026-01-03,No,2,0,1308
Retail,S002,ST0017_L,2026-01-03,No,3,0,3186
Retail,S002,ST0050_L,2026-01-03,No,2,0,3030
Retail,S002,ST0014_XL,2026-01-03,No,3,0,13461
Retail,S002,ST0043_L,2026-01-03,No,4,0,18280
Retail,S002,ST0026_XL,2026-01-03,No,3,0,13089
Retail,S003,ST0046_S,2026-01-03,No,3,0,13635
Retail,S003,ST0050_S,2026-01-03,No,2,0,4262
Retail,S003,ST0006_XL,2026-01-03,No,2,0,8446
Retail,S003,ST0024_M,2026-01-03,No,3,0,10425
Retail,S003,ST0029_M,2026-01-03,No,1,0,3675
Retail,S003,ST0009_M,2026-01-03,No,1,0,2196
Retail,S003,ST0038_S,2026-01-03,No,2,0,9728
Retail,S003,ST0031_XL,2026-01-03,No,3,0,8604
Retail,S003,ST0022_S,2026-01-03,No,3,0,2403
Retail,S003,ST0039_L,2026-01-03,No,1,0,1330
Retail,S003,ST0023_L,2026-01-03,No,4,0,2760
Retail,S003,ST0016_M,2026-01-03,No,1,0,1454
Retail,S003,ST0047_XL,2026-01-03,No,3,0,8937
Retail,S003,ST0011_S,2026-01-03,No,2,0,7366
Retail,S003,ST0031_S,2026-01-03,No,1,0,3450
Retail,S004,ST0010_XL,2026-01-03,No,1,0,753
Retail,S004,ST0045_S,2026-01-03,No,4,0,8716
Retail,S004,ST0049_XL,2026-01-03,No,2,0,5978
Retail,S004,ST0048_S,2026-01-03,No,2,0,4270
Retail,S004,ST0022_XL,2026-01-03,No,4,0,14680
Retail,S004,ST0041_M,2026-01-03,No,1,0,2431
Retail,S004,ST0008_L,2026-01-03,No,2,0,3308
Retail,S004,ST0042_XL,2026-01-03,No,3,0,3177
Retail,S004,ST0002_L,2026-01-03,No,2,0,7438
Retail,S004,ST0049_S,2026-01-03,No,2,0,6698
Retail,S004,ST0028_M,2026-01-03,No,1,0,3037
Retail,S004,ST0019_S,2026-01-03,No,3,0,3945
Retail,S004,ST0025_XL,2026-01-03,No,2,0,4632
Retail,S004,ST0016_XL,2026-01-03,No,4,0,6180
Retail,S004,ST0013_S,2026-01-03,No,4,0,14936
Retail,S005,ST0049_L,2026-01-03,No,3,0,12690
Retail,S005,ST0012_M,2026-01-03,No,2,0,9866
Retail,S005,ST0045_L,2026-01-03,No,1,0,3244
Retail,S005,ST0036_L,2026-01-03,No,2,0,7248
Retail,S005,ST0049_S,2026-01-03,No,3,0,10047
Retail,S005,ST0022_S,2026-01-03,No,1,0,801
Retail,S005,ST0029_M,2026-01-03,No,1,0,3675
Retail,S005,ST0008_XL,2026-01-03,No,4,0,19996
Retail,S005,ST0006_M,2026-01-03,No,2,0,8286
Retail,S005,ST0014_S,2026-01-03,No,2,0,1320
Retail,S005,ST0009_S,2026-01-03,No,4,0,14764
Retail,S005,ST0043_L,2026-01-03,No,2,0,9140
Retail,S005,ST0044_M,2026-01-03,No,2,0,5588
Retail,S005,ST0045_M,2026-01-03,No,4,0,16024
Retail,S005,ST0025_S,2026-01-03,No,3,0,11682
Retail,S006,ST0032_S,2026-01-03,No,3,0,13041
Retail,S006,ST0003_M,2026-01-03,No,3,0,7029
Retail,S006,ST0041_XL,2026-01-03,No,1,0,2164
Retail,S006,ST0010_S,2026-01-03,No,4,0,7780
Retail,S006,ST0018_XL,2026-01-03,No,1,0,3567
Retail,S006,ST0029_M,2026-01-03,No,2,0,7350
Retail,S006,ST0044_XL,2026-01-03,No,1,0,4749
Retail,S006,ST0024_L,2026-01-03,No,4,0,6736
Retail,S006,ST0035_XL,2026-01-03,No,4,0,17416
Retail,S006,ST0045_S,2026-01-03,No,2,0,4358
Retail,S006,ST0011_XL,2026-01-03,No,4,0,10800
Retail,S006,ST0015_S,2026-01-03,No,1,0,2027
Retail,S006,ST0030_S,2026-01-03,No,3,0,3111
Retail,S006,ST0012_S,2026-01-03,No,1,0,3461
Retail,S006,ST0012_M,2026-01-03,No,3,0,14799
Retail,S006,ST0002_S,2026-01-03,No,2,0,4972
Retail,S007,ST0015_XL,2026-01-03,No,3,0,10812
Retail,S007,ST0047_M,2026-01-03,No,3,0,10377
Retail,S007,ST0044_L,2026-01-03,No,2,0,7294
Retail,S007,ST0018_XL,2026-01-03,No,1,0,3567
Retail,S007,ST0011_XL,2026-01-03,No,2,0,5400
Retail,S007,ST0022_M,2026-01-03,No,3,0,14328
Retail,S007,ST0008_M,2026-01-03,No,4,0,11020
Retail,S007,ST0002_S,2026-01-03,No,1,0,2486
Retail,S007,ST0039_XL,2026-01-03,No,3,0,12525
Retail,S007,ST0043_L,2026-01-03,No,4,0,18280
Retail,S007,ST0006_L,2026-01-03,No,2,0,5098
Retail,S007,ST0018_M,2026-01-03,No,3,0,2175
Retail,S007,ST0036_S,2026-01-03,No,4,0,11964
Retail,S007,ST0026_M,2026-01-03,No,4,0,9580
Retail,S007,ST0039_S,2026-01-03,No,2,0,4364
Retail,S007,ST0027_L,2026-01-03,No,2,0,4372
Retail,S007,ST0030_M,2026-01-03,No,2,0,4682
Retail,S007,ST0025_M,2026-01-03,No,2,0,1254
Retail,S008,ST0048_M,2026-01-03,No,3,0,6771
Retail,S008,ST0027_S,2026-01-03,No,1,0,4514
Retail,S008,ST0037_XL,2026-01-03,No,1,0,4642
Retail,S008,ST0011_L,2026-01-03,No,3,0,1794
Retail,S008,ST0039_L,2026-01-03,No,2,0,2660
Retail,S008,ST0026_XL,2026-01-03,No,3,0,13089
Retail,S008,ST0017_L,2026-01-03,No,2,0,2124
Retail,S008,ST0040_M,2026-01-03,No,1,0,1240
Retail,S008,ST0007_XL,2026-01-03,No,4,0,14680
Retail,S008,ST0033_S,2026-01-03,No,4,0,6664
Retail,S008,ST0032_M,2026-01-03,No,4,0,19980
Retail,S008,ST0030_S,2026-01-03,No,2,0,2074
Retail,S008,ST0050_S,2026-01-03,No,4,0,8524
Retail,S008,ST0017_M,2026-01-03,No,2,0,7872
Retail,S008,ST0039_S,2026-01-03,No,3,0,6546
Retail,S008,ST0024_XL,2026-01-03,No,4,0,15308
Retail,S009,ST0012_L,2026-01-03,No,2,0,8554
Retail,S009,ST0036_M,2026-01-03,No,2,0,6320
Retail,S009,ST0001_L,2026-01-03,No,4,0,13244
Retail,S009,ST0037_XL,2026-01-03,No,2,0,9284
Retail,S009,ST0009_L,2026-01-03,No,4,0,17964
Retail,S009,ST0006_M,2026-01-03,No,4,0,16572
Retail,S009,ST0038_L,2026-01-03,No,3,0,3405
Retail,S009,ST0040_S,2026-01-03,No,4,0,7476
Retail,S009,ST0005_XL,2026-01-03,No,4,0,4492
Retail,S009,ST0008_S,2026-01-03,No,2,0,4364
Retail,S009,ST0029_M,2026-01-03,No,4,0,14700
Retail,S009,ST0026_M,2026-01-03,No,2,0,4790
Retail,S009,ST0017_M,2026-01-03,No,1,0,3936
Retail,S009,ST0007_M,2026-01-03,No,2,0,9180
Retail,S010,ST0004_XL,2026-01-03,No,2,0,4604
Retail,S010,ST0046_M,2026-01-03,No,2,0,3486
Retail,S010,ST0029_L,2026-01-03,No,4,0,19364
Retail,S010,ST0028_L,2026-01-03,No,3,0,5727
Retail,S010,ST0003_L,2026-01-03,No,1,0,988
Retail,S010,ST0025_S,2026-01-03,No,2,0,7788
Retail,S010,ST0049_S,2026-01-03,No,4,0,13396
Retail,S010,ST0033_M,2026-01-03,No,2,0,6548
Retail,S010,ST0025_M,2026-01-03,No,1,0,627
Retail,S010,ST0002_XL,2026-01-03,No,3,0,10233
Retail,S010,ST0026_S,2026-01-03,No,3,0,3207
Retail,S010,ST0050_M,2026-01-03,No,4,0,13264
Retail,S010,ST0019_L,2026-01-03,No,4,0,2064
Retail,S010,ST0044_M,2026-01-03,No,3,0,8382
Retail,S010,ST0045_XL,2026-01-03,No,1,0,3856
Retail,S010,ST0046_L,2026-01-03,No,4,0,14472
Retail,S001,ST0040_M,2026-01-04,No,1,0,1240
Retail,S001,ST0040_L,2026-01-04,No,4,0,2464
Retail,S001,ST0019_S,2026-01-04,No,1,0,1315
Retail,S001,ST0050_XL,2026-01-04,No,4,0,7392
Retail,S001,ST0011_S,2026-01-04,No,3,0,11049
